verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
radBERT-randomsplits-ep3bSz32nTok64wup0lr7e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,7.00E-05,0,32,177959,22245,22245,0.717464599,0.367537354,0.684,0.684149417,0.580524595,0.786999695,7460,14785,0.786999695,0.788683603,0.785322962,0.785322962,0.417024129,0.582975871,2066,0.925,0.925,1.397,36.888,4,11611,4349,3111,3174,3/18/24 23:32
radBERT-randomsplits-ep3bSz32nTok64wup0lr6e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,6.00E-05,0,32,177959,22245,22245,0.733737919,0.387098026,0.694,0.687459121,0.579421998,0.805209327,7460,14785,0.805209327,0.783638459,0.828001353,0.828001353,0.45308311,0.54691689,2119,0.954,0.965,1.433,40.357,4,12242,4080,3380,2543,3/18/24 23:32
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr1e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,1.00E-05,0,32,177959,22245,22245,0.73409755,0.386719262,0.693,0.686700278,0.577891957,0.805919218,7460,14785,0.805919218,0.782628091,0.830639161,0.830639161,0.457238606,0.542761394,2133,0.965,0.99,1.442,38.703,4,12281,4049,3411,2504,3/18/24 23:36
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr1e04dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1404,0.563,0.563,0.949,0,10,14785,0,7460,0,3/18/24 23:36
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr2e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,2.00E-05,0,32,177959,22245,22245,0.734142504,0.386737733,0.693,0.686667684,0.577812678,0.805983859,7460,14785,0.805983859,0.782569918,0.83084207,0.83084207,0.457506702,0.542493298,2138,0.972,0.992,1.446,37.936,4,12284,4047,3413,2501,3/19/24 0:06
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.734592043,0.388160155,0.694,0.687537161,0.579187455,0.806172029,7460,14785,0.806172029,0.783285486,0.830436253,0.830436253,0.45536193,0.54463807,2142,0.973,0.992,1.449,37.312,4,12278,4063,3397,2507,3/19/24 0:06
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr5e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,5.00E-05,0,32,177959,22245,22245,0.735176444,0.386962587,0.693,0.685685577,0.575545789,0.80755284,7460,14785,0.80755284,0.780993302,0.835982415,0.835982415,0.46461126,0.53538874,2128,0.969,0.99,1.439,36.686,4,12360,3994,3466,2425,3/19/24 0:12
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,4.00E-05,0,32,177959,22245,22245,0.736525062,0.390015693,0.695,0.687098592,0.577524688,0.808570402,7460,14785,0.808570402,0.78183426,0.837199865,0.837199865,0.463002681,0.536997319,2133,0.973,0.991,1.442,36.404,4,12378,4006,3454,2407,3/19/24 0:13
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr7e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,7.00E-05,0,32,177959,22245,22245,0.713059114,0.329644352,0.665,0.655897489,0.52993593,0.793503931,7460,14785,0.793503931,0.760510976,0.829489347,0.829489347,0.51769437,0.48230563,1906,0.808,0.81,1.289,37.009,4,12264,3598,3862,2521,3/19/24 0:15
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr6e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,6.00E-05,0,32,177959,22245,22245,0.731759946,0.377790362,0.689,0.680691362,0.567890506,0.805514814,7460,14785,0.805514814,0.777365375,0.835779506,0.835779506,0.474396783,0.525603217,2133,0.966,0.984,1.442,36.445,4,12357,3921,3539,2428,3/19/24 0:15
